Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Benzophenone-3,Oxybenzone,HMDB0015497,4632,34283,C14285,NA,COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,1
Bisphenol A,Bisphenol A,HMDB0032133,6623,33216,C13624,NA,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1
Dimethoate,Dimethoate,HMDB0251379,3082,34714,C14326,NA,CNC(=O)CSP(=S)(OC)OC,1
Terbutylazine,Terbutylazine,NA,22206,NA,NA,NA,NA,1
Asulam,Asulam,HMDB0248680,NA,81696,C18350,NA,COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,1
Naproxen,Naproxen,HMDB0001923,156391,7476,C01517,1461,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,1
1-(3-(Trifluoromethyl)phenyl)piperazine,NA,NA,NA,NA,NA,NA,NA,0
Propyphenazon,NA,NA,NA,NA,NA,NA,NA,0
2-(2-(Chlorophenyl)amino)benzaldehyde,NA,NA,NA,NA,NA,NA,NA,0
4-Formylaminoantipyrine,4-Formylaminoantipyrine,HMDB0246429,NA,83526,NA,NA,CN1N(C(=O)C(N=CO)=C1C)C1=CC=CC=C1,1
Aminopyrine,Aminophenazone,HMDB0015493,6009,160246,C07539,NA,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,1
Diuron,Diuron,HMDB0251497,3120,116509,C18428,NA,CN(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,1
1-Isothiocyanato-8-(methylsulfinyl)-octane,NA,NA,NA,NA,NA,NA,NA,0
Cinnamoylcholine,NA,NA,NA,NA,NA,NA,NA,0
Metolachlor morpholinone,NA,NA,NA,NA,NA,NA,NA,0
Tebutam,NA,NA,NA,NA,NA,NA,NA,0
Lenacil,NA,NA,NA,NA,NA,NA,NA,0
Lidocaine,Lidocaine,HMDB0014426,3676,6456,C07073,NA,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,1
Carbamazepine,Carbamazepine,HMDB0014704,2554,3387,C06868,NA,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,1
Carbetamide,Carbetamide,HMDB0341294,NA,NA,NA,NA,[H][C@](C)(OC(O)=NC1=CC=CC=C1)C(O)=NCC,1
Ketamine,Ketamine,HMDB0015352,3821,6121,C07525,NA,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,1
"N,N-Diethyl-3,4-dimethoxybenzamide",NA,NA,NA,NA,NA,NA,NA,0
7-Hydroxyflavone,NA,NA,NA,NA,NA,NA,NA,0
"3,4,5-Trimethoxycinnamic acid","3,4,5-Trimethoxycinnamic acid",HMDB0002511,735755,NA,NA,6705,COC1=CC(\C=C\C(O)=O)=CC(OC)=C1OC,1
Pirimicarb,Pirimicarb,HMDB0256598,31645,8248,C11079,NA,CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C,1
Clomazone,Clomazone,HMDB0250348,NA,3751,C11095,NA,CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O,1
Bupropion,Bupropion,HMDB0001510,444,3219,C06860,1435,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,1
Albuterol,Salbutamol,HMDB0001937,2083,2549,C11770,799,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,1
Cystine,Cystine,HMDB0250712,595,17376,C01420,NA,NC(CSSCC(N)C(O)=O)C(O)=O,1
Bentazone,Bentazone,HMDB0248965,2328,3018,C10965,NA,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,1
Cyanazine,Cyanazine,HMDB0250604,30773,38069,C14299,NA,CCN=C1NC(NC(C)(C)C#N)=NC(Cl)=N1,1
L-Anserine,Anserine,HMDB0000194,112072,18323,C01262,5209,CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O,1
Methiocarb-sulfoxide,NA,NA,NA,NA,NA,NA,NA,0
Mefenamic acid,Mefenamic acid,HMDB0014922,4044,6717,C02168,NA,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,1
Prometryn,Prometryn,HMDB0256805,4929,26276,C18542,NA,CSC1=NC(NC(N1)=NC(C)C)=NC(C)C,1
alpha-Lapachone,NA,NA,NA,NA,NA,NA,NA,0
Cytidine,Cytidine,HMDB0000089,6175,17562,C00475,3376,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Uridine,Uridine,HMDB0000296,6029,16704,C00299,90,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1
Biotin,Biotin,HMDB0000030,171548,15956,C00120,243,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,1
N1-Acetylspermine,N1-Acetylspermine,HMDB0001186,916,17312,C02567,3369,CC(=O)NCCCNCCCCNCCCN,1
4-Acetamidoantipyrine,4-Acetamidoantipyrine,HMDB0246326,65743,83513,NA,NA,CN1N(C(=O)C(NC(C)=O)=C1C)C1=CC=CC=C1,1
Indole-3-acetyl-L-alanine,NA,NA,NA,NA,NA,NA,NA,0
Santonin,NA,NA,NA,NA,NA,NA,NA,0
Pyridoxal 5-phosphate,Pyridoxal 5'-phosphate,HMDB0001491,1051,18405,C00018,6275,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,1
1-Isothiocyanato-9-(methylsulfinyl)-nonane,1-Isothiocyanato-9-(methylsulfinyl)-nonane,HMDB0341114,NA,NA,NA,NA,CS(=O)CCCCCCCCCN=C=S,1
Linuron,Linuron,HMDB0254109,9502,6482,C11007,NA,CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,1
Pyrimethamine,Pyrimethamine,HMDB0014350,4993,8673,C07391,NA,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,1
Pindolol,Pindolol,HMDB0015095,4828,8214,C07445,NA,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,1
Clothianidin,NA,NA,NA,NA,NA,NA,NA,0
4-Coumaroylcholine,NA,NA,NA,NA,NA,NA,NA,0
"N,O-Didesmethylvenlafaxine","N,O-Didesmethylvenlafaxine",HMDB0060852,3451347,83529,NA,NA,CNCC(C1=CC=C(O)C=C1)C1(O)CCCCC1,1
Sulfadiazine,Sulfadiazine,HMDB0014503,5215,9328,C07658,NA,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,1
gamma-Glu-Cys,gamma-Glutamylcysteine,HMDB0001049,123938,17515,C00669,5966,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O,1
2'-Deoxyadenosine,Deoxyadenosine,HMDB0000101,13730,17256,C00559,3382,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,1
Dimethachlor OXA,NA,NA,NA,NA,NA,NA,NA,0
Prosulfocarb,NA,NA,NA,NA,NA,NA,NA,0
Thiacloprid,Thiacloprid,HMDB0258967,115224,39175,NA,NA,ClC1=NC=C(CN2CCSC2=NC#N)C=C1,1
"Carbamazepine-10,11-epoxide","Carbamazepine-10,11-epoxide",HMDB0060658,2555,3388,C07496,NA,NC(=O)N1C2=CC=CC=C2C2OC2C2=CC=CC=C12,1
Trinexapac-ethyl,Trinexapac-ethyl,HMDB0259248,NA,81817,C18541,NA,CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,1
Estriol,Estriol,HMDB0000153,5756,27974,C05141,2581,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,1
Sulfamethoxazole,Sulfamethoxazole,HMDB0015150,5329,9332,C07315,NA,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,1
Irgarol,NA,NA,NA,NA,NA,NA,NA,0
Chrysin,"5,7-Dihydroxyflavone",HMDB0036619,5281607,75095,C10028,NA,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1,1
Ketoprofen,Ketoprofen,HMDB0015144,3825,6128,C01716,NA,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,1
alpha-Estradiol,17alpha-Estradiol,HMDB0000429,68570,17160,C02537,5418,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,1
Epiandrosterone,Epiandrosterone,HMDB0000365,11055399,NA,C07635,NA,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C,1
Triclopyr,TRICLOPYR,HMDB0259186,NA,9682,C11032,NA,OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl,1
Lamotrigine,Lamotrigine,HMDB0014695,3878,6367,NA,NA,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,1
Sulfathiazole,Sulfathiazole,HMDB0015619,5340,9337,C11169,NA,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,1
Amfenac,Amfenac,HMDB0248289,2136,75915,NA,NA,NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=CC=C1,1
Dimethachlor,Dimethachlor,HMDB0341155,NA,NA,NA,NA,COCCN(C(=O)CCl)C1=C(C)C=CC=C1C,1
Atomoxetine,Atomoxetine,HMDB0014434,54841,127342,NA,NA,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,1
Ethofumesate-2-keto,NA,NA,NA,NA,NA,NA,NA,0
"5-beta-Androstane-3-alpha,17-beta-diol",NA,NA,NA,NA,NA,NA,NA,0
Orbencarb,NA,NA,NA,NA,NA,NA,NA,0
Propachlor ESA,NA,NA,NA,NA,NA,NA,NA,0
"5,6-Dimethoxynaphtol[2,3-b]furan-4,9-dione",NA,NA,NA,NA,NA,NA,NA,0
3-Hydroxy-beta-lapachone,NA,NA,NA,NA,NA,NA,NA,0
D-Glucosamine-6-phosphate,D-Glucosamine-6-phosphate,HMDB0250754,4201865,NA,NA,NA,NC(C=O)C(O)C(O)C(O)COP(O)(O)=O,1
Propranolol,Propranolol,HMDB0001849,4946,8499,C07407,2170,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,1
Bromacil,Bromacil,NA,9411,NA,NA,NA,NA,1
alpha-D-Glucose 6-phosphate,alpha-D-glucose 6-phosphate,HMDB0304534,4459709,NA,NA,NA,OC1OC(COP([O-])([O-])=O)C(O)C(O)C1O,1
Cyclophosphamide,Cyclophosphamide,HMDB0014672,2907,4027,C07888,NA,ClCCN(CCCl)P1(=O)NCCCO1,1
D-Sorbitol 6-phosphate,Sorbitol-6-phosphate,HMDB0005831,618,743019,C01096,NA,OCC(O)C(O)C(O)C(O)COP(O)(O)=O,1
Gemcitabine,Gemcitabine,HMDB0014584,60750,175901,C07650,NA,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,1
Dioxoaminopyrine,NA,NA,NA,NA,NA,NA,NA,0
"2',2'-Difluoro-2'-deoxyuridine","2',2'-Difluorodeoxyuridine",HMDB0060727,92021386,NA,NA,NA,OC[C@@H]1O[C@H](N2C=CC(O)=NC2=O)C(F)(F)[C@@H]1O,1
Thiamine,Thiamine,HMDB0000235,1130,18385,C00378,5242,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,1
Tetracaine,Tetracaine,HMDB0258868,5411,9468,C07526,NA,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,1
Caffeoylcholine,NA,NA,NA,NA,NA,NA,NA,0
Atenolol,Atenolol,HMDB0001924,2249,2904,C13235,1128,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,1
"1,4-Androstadiene-3,17-dione",Boldione,HMDB0003422,13472,40799,C20144,NA,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1
Adenosine,Adenosine,HMDB0000050,60961,16335,C00212,86,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
Apomorphine,Apomorphine,HMDB0014852,6005,48538,NA,NA,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,1
Metoprolol,Metoprolol,HMDB0001932,4171,6904,C07202,1250,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,1
L-Homocystine,L-Homocystine,HMDB0000676,69382,89698,C01817,NA,NC(CCSSCC[C@H](N)C(O)=O)C(O)=O,1
Formononetin,Formononetin,HMDB0005808,5280378,18088,C00858,NA,COC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,1
Moclobemide,Moclobemide,HMDB0015302,4235,83531,NA,NA,ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1,1
Acetochlor,Acetochlor,HMDB0247910,NA,2394,C10925,NA,CCOCN(C(=O)CCl)C1=C(C)C=CC=C1CC,1
Thiacloprid-amide,NA,NA,NA,NA,NA,NA,NA,0
Apigenin,Apigenin,HMDB0002124,5280443,18388,C01477,3397,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,1
"10,11-trans-Dihydroxy-10,11-dihydrocarbamazepine",NA,NA,NA,NA,NA,NA,NA,0
Dehydroepiandrosterone,Dehydroepiandrosterone,HMDB0000077,5881,28689,C01227,5133,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,1
Dimethenamid OXA,NA,NA,NA,NA,NA,NA,NA,0
Napropamid,NA,NA,NA,NA,NA,NA,NA,0
Dextromethorphan,Dextromethorphan,HMDB0001920,5362449,146176,C06947,NA,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(OC)C=C2,1
Naringenin,Naringenin,HMDB0002670,439246,17846,C00509,3401,OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,1
Phloretin,Phloretin,HMDB0003306,4788,17276,C00774,3405,OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,1
Sotalol,Sotalol,HMDB0014632,5253,63622,C07309,NA,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,1
Galaxolidone,NA,NA,NA,NA,NA,NA,NA,0
5-beta-Androstan-17-beta-ol-3-one,NA,NA,NA,NA,NA,NA,NA,0
Metazachlor OXA,NA,NA,NA,NA,NA,NA,NA,0
Phenylbenzimidazolesulfonic acid,NA,NA,NA,NA,NA,NA,NA,0
Ormetoprim,NA,NA,NA,NA,NA,NA,NA,0
Nandrolone,Nandrolone,HMDB0002725,9904,7466,C07254,1434,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],1
Dimethenamid-P,NA,NA,NA,NA,NA,NA,NA,0
Triethyl citrate,Triethyl citrate,HMDB0034263,6506,NA,NA,NA,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1
L-Saccharopine,Saccharopine,HMDB0000279,160556,16927,C00449,383,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O,1
Metazachlor,Metazachlor,HMDB0254508,49384,6798,C10948,NA,CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)CCl,1
Amitriptyline,Amitriptyline,HMDB0014466,2160,2666,C06824,NA,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,1
Venlafaxine,Venlafaxine,HMDB0005016,5656,9943,C07187,3005,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,1
Sulfamethazine,Sulfamethazine,HMDB0015522,5327,102265,C19530,NA,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,1
Triphenylphosphine oxid,NA,NA,NA,NA,NA,NA,NA,0
Metalaxyl,(Â±)-Metalaxyl,HMDB0031802,42586,82790,C10947,NA,COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C,1
Oxamniquine,Oxamniquine,HMDB0015228,4612,78416,C07341,NA,CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)[N+]([O-])=O,1
Brefeldin-A,NA,NA,NA,NA,NA,NA,NA,0
Iodocarb,3-Iodo-2-propynyl butylcarbamate,HMDB0246958,62097,83279,NA,NA,CCCCNC(=O)OCC#CI,1
Flufenamic acid,Flufenamic acid,HMDB0252331,3371,42638,C13038,NA,OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,1
Pendimethalin,Pendimethalin,HMDB0256221,38479,83569,C11019,NA,CCC(CC)NC1=C(C=C(C)C(C)=C1[N+]([O-])=O)[N+]([O-])=O,1
Artemisinin,NA,NA,NA,NA,NA,NA,NA,0
Guanosine,Guanosine,HMDB0000133,6802,16750,C00387,87,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,1
Metolachlor,Metolachlor,HMDB0254678,NA,83645,C10953,NA,CCC1=CC=CC(C)=C1N(C(C)COC)C(=O)CCl,1
Tris(2-chloroethyl)phosphate,NA,NA,NA,NA,NA,NA,NA,0
Biochanin A,Biochanin A,HMDB0002338,5280373,17574,C00814,NA,COC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,1
Diazepam,Diazepam,HMDB0014967,3016,49575,C06948,NA,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,1
Oseltamivir carboxylate,"1-Isopropyl-2,3-dimethylcyclopentane",HMDB0035141,544190,NA,NA,NA,CC(C)C1CCC(C)C1C,1
Morphine,Morphine,HMDB0014440,5288826,17303,C01516,NA,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,1
Pyrilamine,Mepyramine,HMDB0015639,4992,6762,C11798,NA,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,1
Cyanidin,Cyanidin,HMDB0002708,128861,27843,C05905,3413,OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1,1
Claussequinone,Claussequinone,NA,100072,NA,NA,NA,COC1=CC(=O)C(C2COc3cc(O)ccc3C2)=CC1=O,1
Ethofumesate,Ethofumesate,HMDB0252019,NA,83768,C18829,NA,CCOC1OC2=CC=C(OS(C)(=O)=O)C=C2C1(C)C,1
Androstenedione,Androstenedione,HMDB0000053,6128,16422,C00280,2795,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
Etodolac,Etodolac,HMDB0014887,3308,4909,C06991,NA,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,1
Eriodictyol,Eriodictyol,HMDB0005810,440735,28412,C05631,3415,OC1=CC(O)=C2C(=O)C[C@H](OC2=C1)C1=CC=C(O)C(O)=C1,1
Myclobutanil,NA,NA,NA,NA,NA,NA,NA,0
Diazoxon,Diazoxon,HMDB0251156,NA,83533,NA,NA,CCOP(=O)(OCC)OC1=NC(=NC(C)=C1)C(C)C,1
N-(3-Indolylacetyl)-L-isoleucine,NA,NA,NA,NA,NA,NA,NA,0
Epitestosterone,Epitestosterone,HMDB0000628,10204,42534,C00535,5601,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
Benzoylecgonine,Benzoyl ecgonine,HMDB0041836,442997,41001,C10847,NA,[H][C@@]1(CC2CCC([C@@H]1C(O)=O)N2C)OC(=O)C1=CC=CC=C1,1
(-)-Epicatechin,Epicatechin,HMDB0001871,72276,90,C09727,3420,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,1
Chloroxuron,Chloroxuron,HMDB0250129,16115,82200,NA,NA,CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,1
Indole-3-acetyl-L-aspartic acid,L-N-(1H-Indol-3-ylacetyl)aspartic acid,HMDB0038666,4656408,NA,NA,NA,OC(=O)CC(NC(=O)CC1=CNC2=C1C=CC=C2)C(O)=O,1
Trimethoprim,Trimethoprim,HMDB0014583,5578,45924,C01965,NA,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,1
D617,NA,NA,NA,NA,NA,NA,NA,0
Dihydrotestosterone,Dihydrotestosterone,HMDB0002961,10635,16330,C03917,2789,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,1
Cyproconazole,Cyproconazole,HMDB0250696,86132,83748,C18456,NA,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,1
N4-Acetylsulfadiazine,NA,NA,NA,NA,NA,NA,NA,0
Climbazol,NA,NA,NA,NA,NA,NA,NA,0
Oxaprozin,Oxaprozin,HMDB0015126,4614,7822,C07356,NA,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,1
Amitraz,Amitraz,HMDB0248337,36324,2665,NA,NA,CN(C=NC1=C(C)C=C(C)C=C1)C=NC1=C(C)C=C(C)C=C1,1
Gingerol,Gingerol,HMDB0005783,3473,NA,C10462,NA,CCCCCC(O)CC(=O)CCC1=CC=C(O)C(OC)=C1,1
Cinchonine,Cinchonine,NA,90454,NA,NA,NA,NA,1
Trimipramine,Trimipramine,HMDB0014864,5584,9738,NA,NA,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,1
Diclofenac,Diclofenac,HMDB0014724,3033,47381,C01690,NA,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,1
N4-Acetylsulfamethoxazole,N4-Acetylsulfamethoxazole,HMDB0013854,80641,31169,C13061,NA,CC(O)=NC1=CC=C(C=C1)S(=O)(=O)NC1=NOC(C)=C1,1
Pethoxamide,NA,NA,NA,NA,NA,NA,NA,0
Imazalil,Enilconazole,HMDB0031794,37175,83829,C18739,NA,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C,1
Exemestane,Exemestane,HMDB0015125,60198,4953,C08162,NA,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C,1
"Phytol,mixture of isomers",NA,NA,NA,NA,NA,NA,NA,0
N4-Acetylsulfathiazole,NA,NA,NA,NA,NA,NA,NA,0
5'-S-Methylthioadenosine,NA,NA,NA,NA,NA,NA,NA,0
Spiroxamine,Spiroxamine,HMDB0258432,NA,9242,C11124,NA,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,1
Fenbendazole,Fenbendazole,HMDB0029745,3334,77092,NA,NA,COC(=O)NC1=NC2=C(N1)C=CC(SC1=CC=CC=C1)=C2,1
Metoclopramide,Metoclopramide,HMDB0015363,4168,107736,C07868,NA,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,1
Codeine,Codeine,HMDB0004995,5284371,16714,C06174,498,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,1
DErySphingosine,NA,NA,NA,NA,NA,NA,NA,0
Kaempferide,Kaempferide,HMDB0037441,5281666,6099,C10098,NA,COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,1
Temazepam,Temazepam,HMDB0014376,5391,195909,C07125,NA,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
Methyl-3-[(2-nitrobenzoyl)amino]benzoate,NA,NA,NA,NA,NA,NA,NA,0
Phenmedipham,Phenmedipham,HMDB0256405,NA,81734,C18420,NA,COC(O)=NC1=CC(OC(O)=NC2=CC=CC(C)=C2)=CC=C1,1
all-trans-Retinoic acid,all-trans-Retinoic acid,HMDB0001852,444795,15367,C00777,2277,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,1
Dimethachlor ESA,NA,NA,NA,NA,NA,NA,NA,0
Fenoxycarb,Fenoxycarb,HMDB0252212,51605,5009,C11078,NA,CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,1
Quercetin,Quercetin,HMDB0005794,5280343,16243,C00389,NA,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1,1
PIPES,Pipes,HMDB0256581,NA,44933,NA,NA,OS(=O)(=O)CCN1CCN(CCS(O)(=O)=O)CC1,1
Hesperetin,Hesperetin,HMDB0005782,72281,28230,C01709,NA,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,1
Cocaine,Cocaine,HMDB0015043,446220,27958,C01416,NA,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,1
Fenpropimorph,Fenpropimorph,HMDB0037270,11833620,50146,NA,NA,C[C@H](CN1C[C@H](C)O[C@H](C)C1)CC1=CC=C(C=C1)C(C)(C)C,1
"Thymidine-3',5'-cyclic monophosphate",NA,NA,NA,NA,NA,NA,NA,0
Diazinon,Diazinon,HMDB0032943,3017,34682,C14324,NA,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,1
Pirimiphos-methyl,Pirimiphos-methyl,HMDB0256600,34526,38843,C18403,NA,CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1,1
Imazamox,Imazamox,HMDB0253404,86137,83742,C18598,NA,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,1
Capsaicin,Capsaicin,HMDB0002227,1548943,3374,C06866,NA,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,1
Fluconazole,Fluconazole,HMDB0014342,3365,46081,NA,NA,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,1
Quinoxyfen,Quinoxyfen,HMDB0257055,NA,82040,C18892,NA,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1,1
Clopidogrel carboxylic acid,Clopidogrel carboxylic acid,HMDB0250357,4129546,83504,NA,NA,OC(=O)C(N1CCC2=C(C1)C=CS2)C1=CC=CC=C1Cl,1
L-Glutathione (reduced form),NA,NA,NA,NA,NA,NA,NA,0
Tebuconazole,Tebuconazole,HMDB0258762,NA,83779,C18489,NA,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,1
Dihydrocapsaicin,Dihydrocapsaicin,HMDB0038457,107982,46932,C16952,NA,COC1=C(O)C=CC(CNC(=O)CCCCCCC(C)C)=C1,1
Nimesulide,Nimesulide,HMDB0255611,4495,44445,NA,NA,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,1
Warfarin,Warfarin,HMDB0001935,54678486,87732,C01541,3031,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,1
Fluoxetine,Fluoxetine,HMDB0014615,3386,86990,NA,NA,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,1
Methadone,Methadone,HMDB0014477,4095,167309,C07163,NA,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1
Sulfadimethoxine,Sulfadimethoxine,HMDB0015621,5323,32161,NA,NA,COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1,1
Adiphenine,Adiphenine,NA,2031,NA,NA,NA,NA,1
